# ENTITIES
entity_name,source_id,graph_data
Witcher Code,chunk-a78320d25ce574f4d429f38b17f75ff5<SEP>chunk-790b4c4eb63304e0164b5598937bb538,"{'entity_id': 'Witcher Code', 'entity_type': 'category', 'description': ""The Witcher Code is a set of ethical guidelines that govern the behaviors and decisions of witchers, influencing Geralt's actions.<SEP>The witcher code represents a moral framework that guides Geralt's decisions, particularly in dealing with intelligent creatures."", 'source_id': 'chunk-a78320d25ce574f4d429f38b17f75ff5<SEP>chunk-790b4c4eb63304e0164b5598937bb538'}"
Witcher Series,chunk-e0a691bc00e425a1f6d26e08e7d53707,"{'entity_id': 'Witcher Series', 'entity_type': 'category', 'description': 'The Witcher Series is a fantasy literary franchise created by Andrzej Sapkowski, encompassing various stories featuring Geralt and other characters.', 'source_id': 'chunk-e0a691bc00e425a1f6d26e08e7d53707'}"
Witcher's Code of Practice,chunk-1f556d125dae04bd5c515bc98ddd4ba5,"{'entity_id': ""Witcher's Code of Practice"", 'entity_type': 'category', 'description': ""The Witcher's Code of Practice outlines the moral guidelines and rules the Witcher follows in his pursuits, emphasizing his role as a monster hunter."", 'source_id': 'chunk-1f556d125dae04bd5c515bc98ddd4ba5'}"
Witcher's Emblem,chunk-8bff92d97cf8b219346aa47893d6cd9b,"{'entity_id': ""Witcher's Emblem"", 'entity_type': 'category', 'description': ""The witcher's emblem is a medallion worn by Geralt that identifies him as a witcher and affects the interactions he has with others.<SEP>The witcher's emblem is a medallion worn by Geralt, signifying his identity and status as a witcher."", 'source_id': 'chunk-8bff92d97cf8b219346aa47893d6cd9b'}"
Witcher's Medallion,chunk-eb03aab526105e7b1ba24cd5572ce3b2,"{'entity_id': ""Witcher's Medallion"", 'entity_type': 'category', 'description': ""Witcher's Medallion is a magical item worn by witches, symbolizing their training and abilities, particularly Geralt's Sign of the Wolf's School medallion."", 'source_id': 'chunk-eb03aab526105e7b1ba24cd5572ce3b2'}"
Witcher's Ordinary Tales,chunk-03a8bb0ac68ab284da325b0724e44ed7,"{'entity_id': ""Witcher's Ordinary Tales"", 'entity_type': 'category', 'description': ""Witcher's Ordinary Tales refer to the mundane stories shared by witchers, which contrast with the more dramatic events the characters allude to."", 'source_id': 'chunk-03a8bb0ac68ab284da325b0724e44ed7'}"
Witchers,chunk-ef3186c9201829493a2a1c3c90976c40<SEP>chunk-c66100833eb4bb77965afe8022e9ecd4<SEP>chunk-9b43b0fa568af8179a93b7f6544e402f<SEP>chunk-b80535e4b2ceef8b1c13931aa0648a50,"{'entity_id': 'Witchers', 'entity_type': 'category', 'description': 'Witchers are individuals who hunt monsters and maintain peace, but their profession faces decline as the world evolves into one without monstrous threats.<SEP>Witchers are monster hunters trained to combat magical creatures and mutants, carrying a reputation that is debated throughout the text.<SEP>Witchers are trained monster hunters who provide their services for a fee, now in demand due to rising dangers.<SEP>Witchers are specialized hunters trained to combat monsters and have knowledge about magic and spells.<SEP>Witchers are monster hunters who aim for a world free of threats from creatures, representing a declining profession as the world becomes safer.', 'source_id': 'chunk-ef3186c9201829493a2a1c3c90976c40<SEP>chunk-c66100833eb4bb77965afe8022e9ecd4<SEP>chunk-9b43b0fa568af8179a93b7f6544e402f<SEP>chunk-b80535e4b2ceef8b1c13931aa0648a50'}"
Witchman,chunk-252b563470262e488f0d2a511974927e<SEP>chunk-8c27e4af371749ef084bb77970168e1a,"{'entity_id': 'Witchman', 'entity_type': 'person', 'description': 'The Witchman is depicted as greedy for gold and somewhat covetous, involved in a conversation with other characters about the devil and related lore.<SEP>The witchman, also known as a witcher, is depicted as a monstrous being who engages in dangerous contracts to fight monsters, needing to be summoned carefully.<SEP>The witchman, also referred to as a witcher, is depicted as a being summoned to combat monsters, possessing great danger.', 'source_id': 'chunk-252b563470262e488f0d2a511974927e<SEP>chunk-8c27e4af371749ef084bb77970168e1a'}"
Wizard,chunk-c66100833eb4bb77965afe8022e9ecd4,"{'entity_id': 'Wizard', 'source_id': 'chunk-c66100833eb4bb77965afe8022e9ecd4', 'description': 'The Wizard refers to the autopsies conducted on the mutants to understand their biology, displaying knowledge of the examination process.', 'entity_type': 'UNKNOWN'}"
Wizard's Mark,chunk-a7f563ba76dd98ac816742360df64358,"{'entity_id': ""Wizard's Mark"", 'entity_type': 'category', 'description': ""The wizard's mark is an inscription on the seal of the amphora, signaling its magical attributes and relation to wizards."", 'source_id': 'chunk-a7f563ba76dd98ac816742360df64358'}"
Wizards,chunk-70959d34757ece127e259b4acb84cc19,"{'entity_id': 'Wizards', 'entity_type': 'category', 'description': 'Wizards are described as rebels, writing petitions, which contributes to the tension in the region.', 'source_id': 'chunk-70959d34757ece127e259b4acb84cc19'}"
Wolf Medallion,chunk-1403fa5d5c95936735498d32dae07de5,"{'entity_id': 'Wolf Medallion', 'entity_type': 'category', 'description': 'The Wolf Medallion is a symbol associated with Geralt, representing his identity as a witcher.', 'source_id': 'chunk-1403fa5d5c95936735498d32dae07de5'}"
Wolf's Fangs,chunk-c66100833eb4bb77965afe8022e9ecd4,"{'entity_id': ""Wolf's Fangs"", 'entity_type': 'category', 'description': ""Wolf's fangs symbolize the physical mutations experienced by individuals as a result of magical interference, representing fierceness or aggression."", 'source_id': 'chunk-c66100833eb4bb77965afe8022e9ecd4'}"
Wolf's Head Medallion,chunk-8aa2326afa53bc75a1c6e25762a7abc0,"{'entity_id': ""Wolf's Head Medallion"", 'entity_type': 'category', 'description': ""The wolf's head medallion is an accessory worn by Geralt, symbolizing his identity as a witcher."", 'source_id': 'chunk-8aa2326afa53bc75a1c6e25762a7abc0'}"
Wolves,chunk-0492b6805dcd38756740359a367ae832,"{'entity_id': 'Wolves', 'entity_type': 'animal', 'description': 'Wolves are observing creatures in the forest, displayed as calm and unhurried in the presence of Geralt.', 'source_id': 'chunk-0492b6805dcd38756740359a367ae832'}"
Woodcutters,chunk-bdcf9478a84cf2b82530586584c9bdec,"{'entity_id': 'Woodcutters', 'entity_type': 'person', 'description': 'Woodcutters represent the rural workforce and provide Geralt with tales of monsters in the surrounding woods.', 'source_id': 'chunk-bdcf9478a84cf2b82530586584c9bdec'}"
Wooden Barrier,chunk-f79d16c0eb7331a798cfcd0c2a30cbc0,"{'entity_id': 'Wooden Barrier', 'entity_type': 'object', 'description': 'The wooden barrier is a structure over which Geralt throws the reins of his donkey as he dismounts.', 'source_id': 'chunk-f79d16c0eb7331a798cfcd0c2a30cbc0'}"
Wooden Scaffolding,chunk-3807cedce2af9fd84b9fd3a93524d176,"{'entity_id': 'Wooden Scaffolding', 'entity_type': 'category', 'description': 'The wooden scaffolding is a structure that becomes involved in the battle, ultimately collapsing and trapping Nivellen beneath it.', 'source_id': 'chunk-3807cedce2af9fd84b9fd3a93524d176'}"
Wooden Tub,chunk-fdf111535f66a790343f97be639cf063,"{'entity_id': 'Wooden Tub', 'entity_type': 'category', 'description': 'The wooden tub is where Geralt is found bathing, highlighting the rustic and traditional aspects of the setting.', 'source_id': 'chunk-fdf111535f66a790343f97be639cf063'}"
Wozgor Necropolises,chunk-ab56102b55d71b51062df675f39ea473,"{'entity_id': 'Wozgor Necropolises', 'entity_type': 'category', 'description': 'Wozgor Necropolises refers to ancient burial sites that are tied to legends and traditions regarding the eclipse and its effects.', 'source_id': 'chunk-ab56102b55d71b51062df675f39ea473'}"
Wyvern,chunk-afbaa5f925e32dfcfbb452d0f7772e4a,"{'entity_id': 'Wyvern', 'entity_type': 'category', 'description': 'A wyvern is a dragon-like creature that is often sought after by Witchers for its monstrous nature.', 'source_id': 'chunk-afbaa5f925e32dfcfbb452d0f7772e4a'}"
Wyzim,chunk-b7bf8ea77df97e6cbc12bcbdf43fbead<SEP>chunk-3b6a2f70ec4a24c0c5afbc97b90149da<SEP>chunk-c48fa02d8d426545197f43db2af03044<SEP>chunk-79ada16d0041b9db184abd5d6c7b1d22<SEP>chunk-aab98673d0922e13ea3102efb18e4e46<SEP>chunk-70d414531ad66b54007a167c22d7f4e0<SEP>chunk-c839e3d5de5cfd26e107c68057d70138<SEP>chunk-89c304ada49731bfa689ea0c8adff109<SEP>chunk-26a81816afa83c187c80280c6daac7f4<SEP>chunk-8bff92d97cf8b219346aa47893d6cd9b<SEP>chunk-6d91bbfab407534fd1201045b4ac5061,"{'entity_id': 'Wyzim', 'entity_type': 'geo', 'description': ""Wyzim is a location near the palace, represented by its distant lights visible from the palace window.<SEP>Wyzim is a location seen from the palace window, characterized by its twinkling lights in the distance and a surrounding wilderness that isolates it from dangers.<SEP>Wyzim is a location where Foltest is trying to address the problems caused by the striga and the ensuing chaos.<SEP>Wyzim is referenced as a location where there are those who support King Vizimir.<SEP>Wyzim is the town setting where the confrontation occurs, described as a 'decent town' by local characters.<SEP>Wyzim is a location where Geralt was prior to visiting Nenneke.<SEP>Wyzim is the location associated with the royal family's tragic events, particularly concerning the Striga's emergence and its impact on the palace.<SEP>Wyzim is the location tied to the royal family's events, particularly the horror surrounding the Striga.<SEP>Wyzim is a location where the story takes place, known for its taverns and local inhabitants.<SEP>Wyzim is a significant location where the events of the narrative unfold, filled with taverns and local traditions.<SEP>Wyzim is a location where Geralt received his injuries from a striga, marking it as a place of conflict.<SEP>Wyzim is a location where Velerad serves as castellan, reflecting its significance in the story's power dynamics.<SEP>Wyzim is a location where law and order is overseen by Velerad, involving interactions with various characters.<SEP>Wyzim is a location where influential wise men are involved in the situation concerning the striga and the witcher.<SEP>Wyzim is a location where significant events involving the characters take place, noted for its atmosphere during a troubling night."", 'source_id': 'chunk-b7bf8ea77df97e6cbc12bcbdf43fbead<SEP>chunk-3b6a2f70ec4a24c0c5afbc97b90149da<SEP>chunk-c48fa02d8d426545197f43db2af03044<SEP>chunk-79ada16d0041b9db184abd5d6c7b1d22<SEP>chunk-aab98673d0922e13ea3102efb18e4e46<SEP>chunk-70d414531ad66b54007a167c22d7f4e0<SEP>chunk-c839e3d5de5cfd26e107c68057d70138<SEP>chunk-89c304ada49731bfa689ea0c8adff109<SEP>chunk-26a81816afa83c187c80280c6daac7f4<SEP>chunk-8bff92d97cf8b219346aa47893d6cd9b<SEP>chunk-6d91bbfab407534fd1201045b4ac5061'}"
Wyzim Striga,chunk-5d52b7a4b8158af7be97226084c34d25,"{'entity_id': 'Wyzim Striga', 'entity_type': 'event', 'description': 'The Wyzim Striga is a monster that the Witcher was contracted to deal with, causing a transaction involving valuable gemstones as payment.<SEP>The Wyzim Striga refers to a creature that was the cause behind a transaction involving valuable gemstones, linked to the witcher.', 'source_id': 'chunk-5d52b7a4b8158af7be97226084c34d25'}"
Yamurlak,chunk-5ba61dadb1252a711031b10bf0540ff0,"{'entity_id': 'Yamurlak', 'entity_type': 'geo', 'description': 'Yamurlak is a place where Old Man Abrad reigns, known for his cruel and unusual methods of governance.', 'source_id': 'chunk-5ba61dadb1252a711031b10bf0540ff0'}"
Yellow Leaves,chunk-81294f72ca80e8660cf7ae69a105ed2c,"{'entity_id': 'Yellow Leaves', 'entity_type': 'category', 'description': 'Yellow leaves refer to the fallen foliage covering the slope, indicating the season and adding to the sensory environment.', 'source_id': 'chunk-81294f72ca80e8660cf7ae69a105ed2c'}"
Yennefer,chunk-423dbae89eee80c0ac38edf6c4918ed4<SEP>chunk-15d3be241ab363f5e562993ccdc5d475<SEP>chunk-9f41e28cae269a5089b5f341c0808320<SEP>chunk-cec81e76fcd9bd45640018d478a9aa3f<SEP>chunk-d9a6fb8f628372b1fa358fcf0b8024cc<SEP>chunk-298832c5cd02b1f259d7f00b72b12df2<SEP>chunk-6580e2227863907b247e8da18b7c6986<SEP>chunk-af5147b2ede3741977eb95f0cc579912<SEP>chunk-5e056562f8df1997b1ac8760695e66e7<SEP>chunk-c71d05fc97df0432182727599ba0d4de<SEP>chunk-2138241ea11e469b0820b26c5331ca7f<SEP>chunk-67644a31d64c6d0fa04d24dfee6b8ceb<SEP>chunk-127827362710390f393dd29855837a88<SEP>chunk-fc1f8992fc427779911aaa3e5fb77a16<SEP>chunk-ff087e367f33ded3b348521fe3622897<SEP>chunk-f0f5d5ce2b89669f044a55b5c8ccb37f<SEP>chunk-2b69064d5c792049b07da3a6bca5884c<SEP>chunk-8b07d195d32b665904d16476431c6702<SEP>chunk-5ac5b82a00e04969c74c50506c240609<SEP>chunk-2b696ed8675549e30237b63069eed453<SEP>chunk-6373d0dad37c5715f404da8b7aa7ab66<SEP>chunk-94c472ee864457ffc9015a3bc6d6d410<SEP>chunk-0b7b567a05c7955cae4c95726ea932f8<SEP>chunk-0ca2e971b25231227f681ab4697c2806<SEP>chunk-917e90452cd65e634bebdafc38d88de6<SEP>chunk-0901461eaec2053f1cb4a95f396a51af<SEP>chunk-d80d9ea3403e6c6434299244c356d544<SEP>chunk-8cf9d377f0e69a56afc54c436f55cc37<SEP>chunk-0a8ff3f447b28d7de63bf3682c1a5d95<SEP>chunk-56913a01f832e7f96faba2618fc67dde<SEP>chunk-2c6754e10a09696492d8ffde0d6b3965<SEP>chunk-310ca38746acc877622350113f5f6ff1<SEP>chunk-575a5e1241d53b55c2087a0f8bc20434<SEP>chunk-915c45e91a722f69c97053a905db00f8<SEP>chunk-838dc8e298497ba27144dca48c2d28c1<SEP>chunk-1c09b60dc90b7e252f02884bb54e6734<SEP>chunk-d2cbb57770fa51c566db2c8ec57323c3<SEP>chunk-e66e5b573e45f8a9679c2c96025cf6ee<SEP>chunk-940af58a635b59722adf2910e4522360<SEP>chunk-8eb25363e812ce36bcbc8094fe3e9303<SEP>chunk-57396706e00dcdc46fdb5a56963cf227,"{'entity_id': 'Yennefer', 'entity_type': 'person', 'description': ""Yennefer is a complex and powerful sorceress intricately woven into the narrative of the Witcher universe, particularly through her tumultuous relationship with the protagonist, Geralt. Renowned for her exceptional magical abilities, Yennefer can execute potent spells, manage unwanted pregnancies, create portals, and confront various threats. She embodies themes of love, power, and the consequences of wielding magic, skillfully navigating the intricacies of her relationships.\n\nYennefer's bond with Geralt is characterized by a unique blend of tenderness and assertiveness, revealing a depth often marked by tension and contention. This dynamic generates feelings of guilt for Geralt, emphasizing Yennefer's dual nature as a source of strength and a figure with manipulative tendencies. Their relationship is further enriched by shared experiences, such as the festival of Belleteyn, which celebrates her birth.\n\nCharacteristically rebellious and fierce, Yennefer possesses a strong-willed temperament that frequently leads to conflicts. She conveys her emotional depth through physical confrontations and outspoken declarations of her feelings. Notably, her bold pursuit of power, exemplified by her involvement with a djinn, adds layers of complexity to her character, raising questions about her true intentions and the limits of her magical capabilities. Despite warnings against seeking control over the djinn, Yennefer's determination shines through, reflecting her fearless personality.\n\nAdditionally, Yennefer shows curiosity about Geralt's nature and is sought after for assistance regarding magical injuries. Her emotional interactions with Geralt and Chireadan showcase her cunning nature, highlighting the contrast between idealized love and harsh realities within the story. Engaging with other characters, including Dandelion, Yennefer's connections underscore her multifaceted character.\n\nCurrently, Yennefer is depicted as alive but in distress, underscoring her continued significance in the unfolding events of the Witcher saga. As a powerful sorceress, she also draws attention and suspicion from her community, often stirring chaos in her vengeful pursuits. Her independent spirit is complemented by strong opinions regarding wishes and actions, leading her to engage in philosophical discussions about the importance of taking action rather than succumbing to idle wishing, particularly emphasizing the significance of seals in supernatural contexts. \n\nOverall, Yennefer's character is a rich tapestry of strength, vulnerability, and complexity, captivating those around her and leaving a lasting impression within the Witcher universe."", 'source_id': 'chunk-423dbae89eee80c0ac38edf6c4918ed4<SEP>chunk-15d3be241ab363f5e562993ccdc5d475<SEP>chunk-9f41e28cae269a5089b5f341c0808320<SEP>chunk-cec81e76fcd9bd45640018d478a9aa3f<SEP>chunk-d9a6fb8f628372b1fa358fcf0b8024cc<SEP>chunk-298832c5cd02b1f259d7f00b72b12df2<SEP>chunk-6580e2227863907b247e8da18b7c6986<SEP>chunk-af5147b2ede3741977eb95f0cc579912<SEP>chunk-5e056562f8df1997b1ac8760695e66e7<SEP>chunk-c71d05fc97df0432182727599ba0d4de<SEP>chunk-2138241ea11e469b0820b26c5331ca7f<SEP>chunk-67644a31d64c6d0fa04d24dfee6b8ceb<SEP>chunk-127827362710390f393dd29855837a88<SEP>chunk-fc1f8992fc427779911aaa3e5fb77a16<SEP>chunk-ff087e367f33ded3b348521fe3622897<SEP>chunk-f0f5d5ce2b89669f044a55b5c8ccb37f<SEP>chunk-2b69064d5c792049b07da3a6bca5884c<SEP>chunk-8b07d195d32b665904d16476431c6702<SEP>chunk-5ac5b82a00e04969c74c50506c240609<SEP>chunk-2b696ed8675549e30237b63069eed453<SEP>chunk-6373d0dad37c5715f404da8b7aa7ab66<SEP>chunk-94c472ee864457ffc9015a3bc6d6d410<SEP>chunk-0b7b567a05c7955cae4c95726ea932f8<SEP>chunk-0ca2e971b25231227f681ab4697c2806<SEP>chunk-917e90452cd65e634bebdafc38d88de6<SEP>chunk-0901461eaec2053f1cb4a95f396a51af<SEP>chunk-d80d9ea3403e6c6434299244c356d544<SEP>chunk-8cf9d377f0e69a56afc54c436f55cc37<SEP>chunk-0a8ff3f447b28d7de63bf3682c1a5d95<SEP>chunk-56913a01f832e7f96faba2618fc67dde<SEP>chunk-2c6754e10a09696492d8ffde0d6b3965<SEP>chunk-310ca38746acc877622350113f5f6ff1<SEP>chunk-575a5e1241d53b55c2087a0f8bc20434<SEP>chunk-915c45e91a722f69c97053a905db00f8<SEP>chunk-838dc8e298497ba27144dca48c2d28c1<SEP>chunk-1c09b60dc90b7e252f02884bb54e6734<SEP>chunk-d2cbb57770fa51c566db2c8ec57323c3<SEP>chunk-e66e5b573e45f8a9679c2c96025cf6ee<SEP>chunk-940af58a635b59722adf2910e4522360<SEP>chunk-8eb25363e812ce36bcbc8094fe3e9303<SEP>chunk-57396706e00dcdc46fdb5a56963cf227'}"
Yennefer of Vergerberg,chunk-07ea83ccf03ed38c9b2948e1af6432b6,"{'entity_id': 'Yennefer of Vergerberg', 'entity_type': 'person', 'description': 'Yennefer of Vergerberg is a sorceress whose presence influences the characters, indicating her significant role in their lives.', 'source_id': 'chunk-07ea83ccf03ed38c9b2948e1af6432b6'}"
Young Priestess,chunk-c8b9b5759c6ad96ac1176868bf0e9491,"{'entity_id': 'Young Priestess', 'entity_type': 'person', 'description': ""The young priestess encountered at the temple plays a crucial role in Nivellen's transformation through her desperate actions during the robbery.<SEP>The young priestess encountered at the temple plays a crucial role in Nivellen's transformation with her desperate actions."", 'source_id': 'chunk-c8b9b5759c6ad96ac1176868bf0e9491'}"
Yrden,chunk-97a15bd1d991eef63c29349247c86230,"{'entity_id': 'Yrden', 'entity_type': 'category', 'description': ""Yrden refers to a magical sign used for protective purposes in the narrative's context."", 'source_id': 'chunk-97a15bd1d991eef63c29349247c86230'}"
Yspaden,chunk-ae68134675ba43988b6ac7249dca19a6,"{'entity_id': 'Yspaden', 'entity_type': 'geo', 'description': 'Yspaden is a destination that Caldemeyn is trying to reach before winter conditions become unfavorable.', 'source_id': 'chunk-ae68134675ba43988b6ac7249dca19a6'}"
Zatret Voruta,chunk-efe4594303d950910b0632f6ba4c9518,"{'entity_id': 'Zatret Voruta', 'entity_type': 'legend', 'description': 'Zatret Voruta is a legendary hero known for being given to the dwarves, representing the idea of destiny and magical obligations.<SEP>Zatret Voruta is a legendary hero who was given to the dwarves as a child, highlighting themes of destiny and magical contracts.', 'source_id': 'chunk-efe4594303d950910b0632f6ba4c9518'}"
Zavist,chunk-ab56102b55d71b51062df675f39ea473,"{'entity_id': 'Zavist', 'entity_type': 'person', 'description': 'Zavist is a compatriot who engages in a rivalry with the narrator, calling them a charlatan and a monster.', 'source_id': 'chunk-ab56102b55d71b51062df675f39ea473'}"
Zivelena,chunk-efe4594303d950910b0632f6ba4c9518,"{'entity_id': 'Zivelena', 'entity_type': 'legend', 'description': 'Zivelena is a character from a tale who became queen of Metinna and broke a promise to a gnome, illustrating the theme of fate and regret.<SEP>Zivelena is known for becoming a queen through a promise to a gnome, illustrating the consequences of breaking commitments.', 'source_id': 'chunk-efe4594303d950910b0632f6ba4c9518'}"
calanthe,chunk-676991fd282ea4d44756236e9477b8e1,"{'entity_id': 'calanthe', 'entity_type': 'person', 'description': 'Calanthe is a royal figure, likely the queen, who has authority over the destiny of Duny and Pavetta.', 'source_id': 'chunk-676991fd282ea4d44756236e9477b8e1'}"
chireadan,chunk-07ea83ccf03ed38c9b2948e1af6432b6,"{'entity_id': 'chireadan', 'entity_type': 'person', 'description': 'Chireadan is characterized by his expressive nature, hinting at emotional depth during the conversation.', 'source_id': 'chunk-07ea83ccf03ed38c9b2948e1af6432b6'}"
djinn,chunk-44ee427d8b21ff497ded4066cf7216ad,"{'entity_id': 'djinn', 'entity_type': 'category', 'description': 'The djinn is a supernatural creature known for granting wishes, often associated with folklore and mythology.', 'source_id': 'chunk-44ee427d8b21ff497ded4066cf7216ad'}"
dungeon,chunk-6580e2227863907b247e8da18b7c6986,"{'entity_id': 'dungeon', 'entity_type': 'geo', 'description': 'The dungeon is the setting for the confrontation, filled with shadows and a sense of foreboding, representing confinement and danger.', 'source_id': 'chunk-6580e2227863907b247e8da18b7c6986'}"
duny,chunk-676991fd282ea4d44756236e9477b8e1,"{'entity_id': 'duny', 'entity_type': 'person', 'description': 'Duny is an ordinary man burdened by a curse since birth, who has a deep love for Princess Pavetta.', 'source_id': 'chunk-676991fd282ea4d44756236e9477b8e1'}"
elf,chunk-6580e2227863907b247e8da18b7c6986,"{'entity_id': 'elf', 'entity_type': 'person', 'description': 'The elf is characterized by his sensitivity and fascination towards Yennefer, as well as his vulnerability in the face of danger from the guards.', 'source_id': 'chunk-6580e2227863907b247e8da18b7c6986'}"
elves,chunk-985d9644a1b95ed83798ee06faeb090f,"{'entity_id': 'elves', 'entity_type': 'category', 'description': 'Elves are mythical beings often associated with magic and nature in various folklore.', 'source_id': 'chunk-985d9644a1b95ed83798ee06faeb090f'}"
empty cart,chunk-8fce76f055df032c22b1a35b20dbde10,"{'entity_id': 'empty cart', 'entity_type': 'event', 'description': 'The empty cart drawn by two piebald horses is a mode of transportation used by Nettly and serves as the setting for their conversation.', 'source_id': 'chunk-8fce76f055df032c22b1a35b20dbde10'}"
errdil,chunk-07ea83ccf03ed38c9b2948e1af6432b6,"{'entity_id': 'errdil', 'entity_type': 'person', 'description': ""Errdil is a character who is aware of the dangers posed by the mayor's spies and advises caution."", 'source_id': 'chunk-07ea83ccf03ed38c9b2948e1af6432b6'}"
gates,chunk-07ea83ccf03ed38c9b2948e1af6432b6,"{'entity_id': 'gates', 'entity_type': 'event', 'description': 'The opening of the gates signifies the moment when characters can move or take action, suggesting a critical point of transition.', 'source_id': 'chunk-07ea83ccf03ed38c9b2948e1af6432b6'}"
geralt,chunk-07ea83ccf03ed38c9b2948e1af6432b6,"{'entity_id': 'geralt', 'entity_type': 'person', 'description': ""Geralt is a character who is alert and thoughtful, perceiving details such as the flush on Chireadan's face."", 'source_id': 'chunk-07ea83ccf03ed38c9b2948e1af6432b6'}"
guards,chunk-6580e2227863907b247e8da18b7c6986,"{'entity_id': 'guards', 'entity_type': 'organization', 'description': 'The guards are depicted as enforcers in a dungeon setting, posing a physical threat to the characters and responsible for maintaining control.', 'source_id': 'chunk-6580e2227863907b247e8da18b7c6986'}"
key,chunk-6580e2227863907b247e8da18b7c6986,"{'entity_id': 'key', 'entity_type': 'category', 'description': 'The key is an object used to open prison cells, illustrating the prison-like environment in which the characters find themselves.', 'source_id': 'chunk-6580e2227863907b247e8da18b7c6986'}"
magical remedy,chunk-985d9644a1b95ed83798ee06faeb090f,"{'entity_id': 'magical remedy', 'entity_type': 'category', 'description': 'A magical remedy is a spell or potion intended to heal or alleviate magical ailments.', 'source_id': 'chunk-985d9644a1b95ed83798ee06faeb090f'}"
mayor,chunk-07ea83ccf03ed38c9b2948e1af6432b6,"{'entity_id': 'mayor', 'entity_type': 'person', 'description': 'The mayor is a figure of authority whose spies monitor the activities around the house.', 'source_id': 'chunk-07ea83ccf03ed38c9b2948e1af6432b6'}"
money,chunk-07ea83ccf03ed38c9b2948e1af6432b6,"{'entity_id': 'money', 'entity_type': 'category', 'description': 'Money is presented as a tool that can influence situations and grant access, indicating its importance in the narrative.', 'source_id': 'chunk-07ea83ccf03ed38c9b2948e1af6432b6'}"
none,chunk-80c83fc896418abafe66a128b47741fe,"{'entity_id': 'none', 'entity_type': 'unknown', 'description': 'No identifiable entities can be extracted from the given text, which consists only of a partial thought.', 'source_id': 'chunk-80c83fc896418abafe66a128b47741fe'}"
ostatnie yczenie,chunk-dc7ba71e7e327604256ab9b2a5912f73,"{'entity_id': 'ostatnie yczenie', 'entity_type': 'event', 'description': 'Ostatnie yczenie is a literary work, first published in 1993, featuring Geralt, a witcher who faces various fantastical challenges.', 'source_id': 'chunk-dc7ba71e7e327604256ab9b2a5912f73'}"
rumour,chunk-89c304ada49731bfa689ea0c8adff109,"{'entity_id': 'rumour', 'entity_type': 'category', 'description': ""Rumour illustrates the spread of information regarding the dealings of the wise men and their strategies concerning Geralt's task."", 'source_id': 'chunk-89c304ada49731bfa689ea0c8adff109'}"
spell,chunk-6580e2227863907b247e8da18b7c6986,"{'entity_id': 'spell', 'entity_type': 'category', 'description': 'The spell cast by Yennefer is described as powerful, with the ability to affect the perceptions and actions of those under its influence.', 'source_id': 'chunk-6580e2227863907b247e8da18b7c6986'}"
the Armourers Guild,chunk-683173d26403f5a0586d6dc9525f38ed,"{'entity_id': 'the Armourers Guild', 'source_id': 'chunk-683173d26403f5a0586d6dc9525f38ed', 'description': 'The ring on the man indicates his membership in the Armourers Guild, suggesting his profession and skills related to crafting weaponry.<SEP>The ring on the man indicates his membership in the Armourers Guild, suggesting his profession.', 'entity_type': 'UNKNOWN'}"
the Cutlass,chunk-683173d26403f5a0586d6dc9525f38ed,"{'entity_id': 'the Cutlass', 'entity_type': 'category', 'description': 'The Cutlass is a short knife mentioned with the man, suggesting he was prepared for defense or perhaps had a connection to maritime activities.', 'source_id': 'chunk-683173d26403f5a0586d6dc9525f38ed'}"
the Demon,chunk-9c549a57551d845a8904122df54cf441,"{'entity_id': 'the Demon', 'entity_type': 'category', 'description': 'The Demon is a looming threat that the witcher must confront in order to save the town and its people.<SEP>The Demon represents the antagonistic force that the witcher needs to combat in order to save the town and the witch.', 'source_id': 'chunk-9c549a57551d845a8904122df54cf441'}"
the Deovel,chunk-7e159e99755173ce53fef20cb40a2300,"{'entity_id': 'the Deovel', 'entity_type': 'category', 'description': 'The Deovel is described as a troublesome entity causing mischief and disturbances in the valley.', 'source_id': 'chunk-7e159e99755173ce53fef20cb40a2300'}"
the Forest,chunk-683173d26403f5a0586d6dc9525f38ed,"{'entity_id': 'the Forest', 'entity_type': 'geo', 'description': 'The Forest is an environmental feature that plays a significant role in the narrative, being the potential home of the attackers.<SEP>The Forest is an important feature in the narrative, being potentially dangerous, and is the source of the threat that led to the deaths of the two characters.', 'source_id': 'chunk-683173d26403f5a0586d6dc9525f38ed'}"
the Haystack,chunk-7e159e99755173ce53fef20cb40a2300,"{'entity_id': 'the Haystack', 'entity_type': 'geo', 'description': 'The Haystack is a location where Geralt is seen smoking a pipe, indicating a rural setting.', 'source_id': 'chunk-7e159e99755173ce53fef20cb40a2300'}"
the Heath,chunk-683173d26403f5a0586d6dc9525f38ed,"{'entity_id': 'the Heath', 'entity_type': 'geo', 'description': 'The Heath acts as a geographic area through which Geralt theorizes the characters traveled before their demise.<SEP>The Heath is a geographic area through which Geralt theorizes the deceased characters traveled, suggesting a detour from the main route home.', 'source_id': 'chunk-683173d26403f5a0586d6dc9525f38ed'}"
